time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
51606,13859,5.28,0.92,-0.49040819999999996,3,8900,4.83462667943968e-06,51505,0.16400767614444098,0.001
51649,13871,5.23,0.9,-0.48690658,3,8910,7.858130175009137e-06,51546,0.16978168860077858,0.001
51700,13885,5.18,0.9,-0.4842889099999999,3,8920,4.857843759964453e-06,51597,0.1747446894645691,0.001
51756,13900,5.23,0.91,-0.4850835600000001,3,8930,6.0783172557421494e-06,51654,0.17530874659617743,0.001
51810,13915,5.22,0.89,-0.4899733,3,8940,1.978726641027606e-05,51710,0.1803531994422277,0.001
51868,13931,5.31,0.91,-0.49749057,3,8950,1.1712571146442011e-05,51765,0.17797627300024033,0.001
51924,13946,5.36,0.91,-0.50556798,3,8960,8.047231858654413e-06,51822,0.16856956481933594,0.001
51980,13961,5.4,0.91,-0.51017918,3,8970,5.592702223111701e-06,51878,0.17542698234319687,0.001
52033,13975,5.33,0.92,-0.50337348,3,8980,7.405762517009862e-06,51931,0.17722021341323851,0.001
52088,13990,5.34,0.92,-0.5040380799999999,3,8990,7.948068362869284e-06,51985,0.17050295819838843,0.001
52143,14005,5.37,0.93,-0.50810564,3,9000,1.2806091945094522e-05,52042,0.1752311715057918,0.001
52198,14020,5.49,0.96,-0.51209193,3,9010,2.5875326173263602e-05,52096,0.16812068223953247,0.001
52245,14033,5.45,0.94,-0.5100593499999999,3,9020,7.239636215672363e-06,52144,0.1725349724292755,0.001
52303,14049,5.47,0.94,-0.51436729,3,9030,8.23010122985579e-06,52200,0.17376409471035004,0.001
52350,14062,5.4,0.95,-0.5018056799999999,3,9040,5.708030630557914e-06,52248,0.1698697865009308,0.001
52400,14075,5.32,0.93,-0.49485425,3,9050,6.827549311440505e-06,52300,0.1687492643083845,0.001
52452,14089,5.28,0.92,-0.49048582,3,9060,7.415458575061555e-06,52350,0.17149363671030318,0.001
52501,14103,5.21,0.89,-0.48973487000000004,3,9070,7.805218198579192e-06,52401,0.182678684592247,0.001
52551,14116,5.18,0.88,-0.48889119999999997,3,9080,9.912499535857933e-06,52448,0.16875770390033723,0.001
52602,14130,5.14,0.87,-0.48937175999999993,3,9090,5.980865125820856e-06,52502,0.1762866551677386,0.001
52659,14146,5.16,0.85,-0.49631991,3,9100,9.498280360276112e-06,52556,0.18129470944404602,0.001
