time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
4,-0.8894774499999998,6.89,0.89,4305,1470,18340,0.001,0.19368513425191244,18245,7.500527620625992e-05
4,-0.8848355699999999,6.92,0.9,4322,1480,18410,0.001,0.18108378563608443,18316,7.12321608651629e-05
4,-0.87377102,6.75,0.87,4335,1490,18465,0.001,0.1903663370758295,18375,6.786744324926985e-05
4,-0.89726553,6.82,0.88,4351,1500,18533,0.001,0.18974112825734274,18437,7.768415629730694e-05
4,-0.8762704799999999,6.71,0.88,4367,1510,18597,0.001,0.18189463019371033,18504,6.06485688573836e-05
4,-0.86060874,6.56,0.88,4380,1520,18652,0.001,0.18479901055494943,18562,6.091708686047544e-05
4,-0.85509427,6.64,0.89,4398,1530,18726,0.001,0.18550404657920203,18632,5.16686232003849e-05
4,-0.8664446100000001,6.74,0.88,4415,1540,18797,0.001,0.18491503782570362,18703,7.044230778774363e-05
4,-0.8664159400000001,6.66,0.87,4431,1550,18865,0.001,0.17743747929732004,18767,6.062740915998196e-05
4,-0.8670994900000001,6.65,0.88,4448,1560,18936,0.001,0.19248915215333304,18841,5.4058507885201834e-05
4,-0.8546455199999999,6.59,0.87,4463,1570,18999,0.001,0.18536151945590973,18905,8.276534451094146e-05
4,-0.87584309,6.56,0.86,4479,1580,19066,0.001,0.2045284155756235,18973,5.238419771558256e-05
4,-0.89470767,6.75,0.9,4497,1590,19140,0.001,0.18316287050644556,19045,6.108313876514633e-05
4,-0.8853117699999999,6.81,0.91,4515,1600,19214,0.001,0.2030461175101144,19118,5.787882868649571e-05
4,-0.8927474199999998,6.85,0.91,4531,1610,19282,0.001,0.19317388037840524,19188,6.540564694053803e-05
4,-0.9014465700000003,6.99,0.93,4548,1620,19351,0.001,0.19753470718860627,19258,4.2888650204986335e-05
4,-0.90636441,6.88,0.92,4563,1630,19414,0.001,0.20362894982099533,19320,4.5571273706931e-05
4,-0.89851915,6.79,0.93,4578,1640,19476,0.001,0.19437539080778757,19383,6.907285993899374e-05
4,-0.89445644,6.74,0.93,4593,1650,19539,0.001,0.1945900640317372,19445,4.2325534845336475e-05
4,-0.88905294,6.75,0.93,4610,1660,19611,0.001,0.1896567940711975,19517,5.1770775046731744e-05
4,-0.9025036300000001,6.89,0.95,4629,1670,19688,0.001,0.1902592693056379,19592,4.58039014899571e-05
4,-0.8824413,6.9,0.94,4645,1680,19756,0.001,0.19015389184157053,19662,4.0234532207250595e-05
4,-0.8836230600000001,6.89,0.94,4663,1690,19829,0.001,0.19588035345077515,19735,4.69312840972894e-05
4,-0.8892089400000002,6.89,0.94,4680,1700,19903,0.001,0.2000004244702203,19807,7.917523180367425e-05
4,-0.89605203,6.92,0.94,4697,1710,19974,0.001,0.1916603015528785,19877,3.9946878637743386e-05
4,-0.9015809200000001,6.91,0.93,4714,1720,20042,0.001,0.2006957083940506,19947,7.735071085335221e-05
4,-0.90471241,6.97,0.94,4730,1730,20111,0.001,0.18573747078577676,20018,5.139797516070151e-05
4,-0.90240925,6.99,0.94,4746,1740,20175,0.001,0.20934460844312394,20082,5.170976874069311e-05
4,-0.9078584400000002,6.99,0.93,4761,1750,20238,0.001,0.19503219611942768,20144,3.787343985095504e-05
4,-0.9089123199999999,6.97,0.92,4778,1760,20308,0.001,0.19996084485735213,20212,3.9368674021846217e-05
4,-0.9034722500000002,6.85,0.91,4793,1770,20373,0.001,0.18892017219747817,20279,3.758442575677431e-05
4,-0.9108236500000002,6.91,0.93,4811,1780,20447,0.001,0.20683631939547403,20352,5.178347678988108e-05
4,-0.9048608899999999,6.92,0.93,4829,1790,20521,0.001,0.20518925599753857,20427,4.4116507524449844e-05
4,-0.9009706100000001,6.9,0.93,4846,1800,20593,0.001,0.19833099469542503,20498,4.415133344082278e-05
4,-0.8776531200000001,6.82,0.92,4861,1810,20656,0.001,0.19931583745138987,20563,4.607233131537214e-05
4,-0.8632218500000001,6.8,0.93,4877,1820,20722,0.001,0.20623372069426946,20630,3.7839722998407e-05
4,-0.8484075799999999,6.65,0.91,4890,1830,20776,0.001,0.20350581159194311,20682,4.083729011957379e-05
4,-0.8674430900000002,6.68,0.91,4906,1840,20843,0.001,0.1943908759525844,20749,3.629955192861546e-05
4,-0.86459662,6.74,0.93,4923,1850,20912,0.001,0.2091070818049567,20819,3.743617136413897e-05
4,-0.8601750200000001,6.64,0.91,4937,1860,20972,0.001,0.1929286058459963,20878,3.074720370932482e-05
4,-0.86671756,6.66,0.9,4953,1870,21039,0.001,0.20061822732289633,20945,4.393431906161519e-05
4,-0.85085846,6.53,0.89,4968,1880,21100,0.001,0.1887477253164564,21007,3.856937629669639e-05
4,-0.84780784,6.43,0.88,4983,1890,21164,0.001,0.21118185855448246,21070,3.0059068876653328e-05
4,-0.83523024,6.33,0.87,4998,1900,21226,0.001,0.20155419196401322,21133,3.728246805881749e-05
4,-0.8515999000000001,6.41,0.89,5015,1910,21297,0.001,0.20681740982191904,21202,4.1909249765532354e-05
4,-0.8612465699999998,6.46,0.89,5032,1920,21368,0.001,0.2045379068170275,21275,4.4583705208164505e-05
4,-0.87271478,6.54,0.88,5047,1930,21430,0.001,0.20958960269178664,21340,3.7635193751027274e-05
4,-0.8660048100000001,6.49,0.87,5062,1940,21492,0.001,0.20180296525359154,21398,4.05644645979919e-05
4,-0.8709033500000003,6.42,0.85,5077,1950,21554,0.001,0.21570798257986704,21460,5.0012202943131946e-05
4,-0.8630435599999999,6.46,0.86,5092,1960,21618,0.001,0.2024119645357132,21523,5.2397436472044014e-05
4,-0.8623459099999999,6.48,0.87,5109,1970,21687,0.001,0.21117151942518023,21594,3.452894634392578e-05
4,-0.8695528,6.51,0.86,5124,1980,21751,0.001,0.19450080820492335,21658,3.8413810346225675e-05
4,-0.8625089000000001,6.52,0.87,5140,1990,21816,0.001,0.19146609057982764,21723,3.962810539330045e-05
4,-0.8698922899999998,6.49,0.86,5154,2000,21875,0.001,0.1981174200773239,21781,4.808811968359805e-05
4,-0.8639664099999999,6.44,0.86,5170,2010,21941,0.001,0.198511717574937,21848,2.50148573936063e-05
4,-0.85597497,6.37,0.85,5185,2020,22005,0.001,0.20494162291288376,21912,3.9464732026317506e-05
4,-0.8597752600000002,6.47,0.87,5202,2030,22077,0.001,0.2094332774480184,21982,3.082038377518378e-05
4,-0.8589989500000003,6.51,0.88,5218,2040,22143,0.001,0.20760886039998797,22051,3.787289885318993e-05
4,-0.8581063000000002,6.6,0.89,5235,2050,22214,0.001,0.20281760394573212,22124,2.7902848160010763e-05
4,-0.8706424899999999,6.61,0.9,5251,2060,22279,0.001,0.20029166092475256,22185,3.9641160886579506e-05
4,-0.86597747,6.62,0.91,5268,2070,22349,0.001,0.2000717052391597,22255,7.260408944733041e-05
4,-0.8623049999999999,6.58,0.92,5282,2080,22409,0.001,0.20107417553663254,22316,2.934003532573115e-05
4,-0.8625502500000001,6.58,0.9,5298,2090,22474,0.001,0.2089348485072454,22378,2.5153996830340475e-05
4,-0.86254837,6.61,0.9,5313,2100,22536,0.001,0.20733619332313538,22442,2.6263812833349222e-05
4,-0.86457809,6.57,0.89,5327,2110,22598,0.001,0.20895399153232574,22504,3.835783657753685e-05
4,-0.8789246000000002,6.57,0.88,5343,2120,22662,0.001,0.19642081218106405,22569,2.3086624683596062e-05
4,-0.87407831,6.47,0.87,5358,2130,22724,0.001,0.20354901679924556,22629,2.6884871788622278e-05
4,-0.8785942200000001,6.52,0.88,5375,2140,22795,0.001,0.2054766139813832,22701,3.061945816235883e-05
4,-0.8788686599999999,6.47,0.88,5391,2150,22861,0.001,0.20403571923573813,22767,2.629773128622522e-05
4,-0.8745764399999999,6.41,0.87,5405,2160,22920,0.001,0.2023706180708749,22827,3.1318929229330805e-05
4,-0.8673696899999999,6.37,0.87,5421,2170,22986,0.001,0.212905528023839,22892,2.482476497789321e-05
4,-0.8833006300000001,6.42,0.87,5436,2180,23051,0.001,0.21285988603319442,22957,6.350603351685484e-05
4,-0.87325863,6.37,0.88,5451,2190,23111,0.001,0.2048408438762029,23018,2.9889510490950972e-05
4,-0.8682428599999998,6.38,0.89,5466,2200,23174,0.001,0.20229244657925197,23081,2.1219408154138364e-05
4,-0.86172551,6.32,0.87,5479,2210,23230,0.001,0.2163904905319214,23136,2.838045020325808e-05
