rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0.83,51765,12241,-0.7063316800000001,5.8,7350,4,0.0009307083590621394,0.001,51663,0.26805107295513153
0.84,51829,12256,-0.7139338799999999,5.81,7360,4,0.00083190031416182,0.001,51726,0.2566208094358444
0.83,51884,12269,-0.7092204899999999,5.73,7370,4,0.000916545424843207,0.001,51782,0.29336745540301007
0.83,51945,12284,-0.7079819099999999,5.75,7380,4,0.0009196855244226754,0.001,51843,0.26769402623176575
0.83,51999,12297,-0.70937939,5.73,7390,4,0.0008240391450401928,0.001,51896,0.2841491028666496
0.83,52051,12310,-0.7029291900000001,5.68,7400,4,0.0007920345815364271,0.001,51949,0.2767612338066101
0.82,52109,12323,-0.7012694400000002,5.64,7410,4,0.0008473754278384149,0.001,52006,0.2826494947075844
0.79,52158,12335,-0.69570355,5.52,7420,4,0.0008959911744265506,0.001,52055,0.27680808305740356
0.81,52212,12348,-0.70437567,5.57,7430,4,0.0007845613678606848,0.001,52109,0.2756032943725586
0.83,52276,12364,-0.7135843000000002,5.67,7440,4,0.0008449355788928058,0.001,52174,0.28198733925819397
0.83,52330,12376,-0.7108651399999999,5.65,7450,4,0.0009045412395304689,0.001,52227,0.26191712419192
0.82,52389,12391,-0.7040998500000001,5.6,7460,4,0.0008063223406982919,0.001,52287,0.2777130603790283
0.82,52441,12403,-0.69194008,5.57,7470,4,0.0008299154113046824,0.001,52338,0.27810858686765033
0.82,52502,12418,-0.6925564399999999,5.57,7480,4,0.0008142223814502358,0.001,52400,0.268785685300827
0.81,52554,12430,-0.6895459599999999,5.55,7490,4,0.000789258221630007,0.001,52456,0.28241440653800964
0.82,52615,12445,-0.7006798999999999,5.64,7500,4,0.000857251588188644,0.001,52512,0.27724962681531906
0.82,52670,12458,-0.69691561,5.61,7510,4,0.0009261684608645737,0.001,52569,0.2960289716720581
0.86,52736,12474,-0.70422314,5.78,7520,4,0.00082156783901155,0.001,52632,0.27402156591415405
0.86,52789,12487,-0.70153172,5.77,7530,4,0.0008751893183216453,0.001,52687,0.26222097873687744
0.84,52840,12499,-0.68439047,5.64,7540,4,0.0008658420022887489,0.001,52739,0.27959443132082623
0.83,52888,12510,-0.6839912899999999,5.58,7550,4,0.0007729271601419896,0.001,52786,0.28143310546875
0.84,52952,12526,-0.6877689600000002,5.63,7560,4,0.0009354955691378564,0.001,52850,0.293714960416158
0.84,53011,12540,-0.70471942,5.7,7570,4,0.0008043117538493659,0.001,52908,0.27104242891073227
0.82,53062,12552,-0.7008965800000001,5.6,7580,4,0.0008383058302570134,0.001,52959,0.26156826317310333
0.81,53105,12562,-0.6885757400000001,5.51,7590,4,0.0007868876980085458,0.001,53003,0.28389811515808105
0.81,53159,12575,-0.6738757400000002,5.44,7600,4,0.0008455662561270098,0.001,53061,0.3049713174502055
0.82,53214,12589,-0.66766818,5.44,7610,4,0.0008678485755808651,0.001,53111,0.26070840656757355
0.8,53275,12603,-0.6649144400000001,5.39,7620,4,0.0009100973256863654,0.001,53172,0.2600826621055603
0.82,53336,12618,-0.66695981,5.47,7630,4,0.0008212292353467395,0.001,53234,0.27554455399513245
0.82,53387,12630,-0.66517574,5.47,7640,4,0.0008560871065128595,0.001,53285,0.26422221461931866
0.84,53447,12644,-0.6685663199999999,5.59,7650,4,0.0009111085507486548,0.001,53345,0.2840176622072856
0.84,53511,12660,-0.6690462900000002,5.59,7660,4,0.0008763366911028113,0.001,53409,0.2643108169237773
0.85,53573,12675,-0.6715320100000001,5.62,7670,4,0.0007840844503204737,0.001,53471,0.2737131118774414
0.86,53632,12689,-0.6700581099999999,5.7,7680,4,0.0008836477645672858,0.001,53529,0.28614282608032227
0.89,53693,12704,-0.6894725499999999,5.88,7690,4,0.0009270437876693904,0.001,53591,0.25131338834762573
0.89,53749,12717,-0.6962627100000001,5.9,7700,4,0.0009145993972197175,0.001,53646,0.2704942375421524
0.87,53799,12729,-0.70098551,5.85,7710,4,0.0008237222694636633,0.001,53696,0.27907707293828327
0.88,53853,12742,-0.6913280899999998,5.78,7720,4,0.0009799811523407698,0.001,53752,0.28633691867192584
0.85,53906,12755,-0.6902835000000003,5.7,7730,4,0.000842031566814209,0.001,53808,0.2661535342534383
0.87,53970,12770,-0.7042138299999999,5.83,7740,4,0.0008574674887183521,0.001,53867,0.2738743523756663
0.88,54031,12785,-0.70581023,5.84,7750,4,0.0008853134848842663,0.001,53930,0.2736597955226898
0.88,54095,12800,-0.70285474,5.84,7760,4,0.0008053705096244812,0.001,53993,0.2763567268848419
