time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
12233,4,7260,51676,5.9,-0.57553902,0.99,51590,0.21547297139962515,0.0016207012813538313,0.001
12249,4,7270,51746,6.07,-0.59879235,0.99,51661,0.21200778086980185,0.0016159882070496678,0.001
12264,4,7280,51808,6.08,-0.59634689,0.99,51724,0.21520226821303368,0.0021139729568468674,0.001
12279,4,7290,51869,6.1,-0.6023258699999999,0.99,51785,0.22195885082085928,0.002023679844569415,0.001
12294,4,7300,51933,6.16,-0.61409398,1.0,51849,0.21538962051272392,0.0019309279305161908,0.001
12307,4,7310,51990,6.13,-0.6263150500000001,0.99,51906,0.20953960220019022,0.0019319419749081134,0.001
12322,4,7320,52051,6.14,-0.62399576,0.99,51965,0.20218408852815628,0.0019320457940921187,0.001
12336,4,7330,52112,6.19,-0.6183242000000001,0.99,52028,0.2192445881664753,0.002074481121131352,0.001
12351,4,7340,52174,6.24,-0.6305510799999999,0.99,52091,0.2264068822065989,0.0019490163734493156,0.001
12366,4,7350,52236,6.27,-0.6442911499999999,0.99,52150,0.2289565453926722,0.0018840211171967287,0.001
12380,4,7360,52295,6.19,-0.63738265,0.99,52210,0.20290535191694895,0.0018227701463426154,0.001
12393,4,7370,52350,6.04,-0.61954989,0.99,52267,0.20635788887739182,0.0019978092750534415,0.001
12408,4,7380,52411,6.03,-0.6182598100000001,0.99,52327,0.18971820175647736,0.0019775712164118884,0.001
12422,4,7390,52469,6.0,-0.61744902,0.99,52386,0.21310899158318838,0.0018444417898232739,0.001
12433,4,7400,52520,5.87,-0.59425871,0.98,52436,0.20852667093276978,0.0024208237300626934,0.001
12447,4,7410,52578,5.88,-0.5862205599999999,0.99,52494,0.2174987867474556,0.0018523877370171249,0.001
12461,4,7420,52637,5.86,-0.58478169,0.99,52553,0.21700813621282578,0.001995271217310801,0.001
12475,4,7430,52696,5.84,-0.58832295,0.99,52613,0.19767038524150848,0.00192314713993775,0.001
12491,4,7440,52760,5.86,-0.58937475,0.99,52677,0.2006590118010839,0.0019481264559241633,0.001
12504,4,7450,52818,5.82,-0.58759147,0.98,52737,0.22246316075325012,0.002177373123621302,0.001
12516,4,7460,52868,5.73,-0.57185864,0.98,52784,0.20053104311227798,0.001667848409852013,0.001
12529,4,7470,52922,5.72,-0.5694331900000001,0.98,52837,0.21015885472297668,0.0017261006869375706,0.001
12544,4,7480,52983,5.72,-0.5726009200000001,0.98,52900,0.20331334074338278,0.0016954472754150628,0.001
12560,4,7490,53051,5.82,-0.58461801,0.98,52964,0.21546459197998047,0.0017067640021975552,0.001
12572,4,7500,53102,5.82,-0.5813858899999998,0.99,53020,0.2158310612042745,0.001933287875726819,0.001
12585,4,7510,53157,5.79,-0.5798623300000001,0.99,53071,0.20277661581834158,0.0017107152546356832,0.001
12599,4,7520,53215,5.78,-0.57579539,0.99,53132,0.2180044800043106,0.0015469154459424317,0.001
12613,4,7530,53274,5.78,-0.57322867,0.99,53191,0.21649974584579468,0.0021526808850467205,0.001
12625,4,7540,53326,5.66,-0.5534195800000001,0.99,53242,0.20637501776218414,0.002141954726539552,0.001
12638,4,7550,53381,5.63,-0.54053346,1.0,53297,0.2170642614364624,0.002240988449193537,0.001
12652,4,7560,53440,5.72,-0.56338287,0.99,53355,0.20864059776067734,0.0017334663309156895,0.001
12665,4,7570,53493,5.71,-0.56360674,0.99,53410,0.20405206084251404,0.0018756975381014247,0.001
12680,4,7580,53555,5.72,-0.57090277,0.99,53471,0.21815741062164307,0.0020535452252564332,0.001
12694,4,7590,53618,5.67,-0.5642683500000001,0.99,53533,0.22344780464967093,0.001840553634489576,0.001
12708,4,7600,53675,5.73,-0.5685473200000001,0.99,53590,0.19638316333293915,0.0017667006613919511,0.001
12721,4,7610,53731,5.74,-0.57141267,0.98,53648,0.2038450390100479,0.001677573154059549,0.001
12736,4,7620,53793,5.78,-0.57717537,0.98,53709,0.21376502513885498,0.0019062157565106947,0.001
12751,4,7630,53854,5.8,-0.59336616,0.98,53770,0.22219975665211678,0.001880203456883984,0.001
12767,4,7640,53922,5.96,-0.60543655,0.98,53836,0.19633978605270386,0.0018358138855546712,0.001
12781,4,7650,53981,6.0,-0.61078166,0.98,53897,0.21000978350639343,0.00187733763596043,0.001
12795,4,7660,54041,6.01,-0.6046819699999999,0.99,53959,0.21536274254322052,0.0021732986788265407,0.001
12810,4,7670,54105,6.12,-0.61949676,0.99,54020,0.2103620409965515,0.0020016669942479995,0.001
12825,4,7680,54167,6.12,-0.61092109,0.99,54083,0.21434708933035532,0.002035090719194462,0.001
12840,4,7690,54231,6.13,-0.6084707699999999,0.99,54147,0.2062060832977295,0.0018350652419030667,0.001
12854,4,7700,54289,6.14,-0.61752971,0.99,54205,0.22288214415311813,0.0017453955719247461,0.001
12869,4,7710,54352,6.21,-0.6179750400000001,1.0,54268,0.21048690875371298,0.001662857597693801,0.001
12883,4,7720,54408,6.15,-0.61348898,1.0,54326,0.2091394104063511,0.0021041335172152947,0.001
12897,4,7730,54467,6.13,-0.5908194999999999,1.0,54381,0.2030332237482071,0.0016402537779261668,0.001
12912,4,7740,54531,6.09,-0.5958867600000001,1.0,54448,0.20442430675029755,0.0019237727101426572,0.001
12925,4,7750,54585,6.04,-0.59317617,1.0,54500,0.20494518180688223,0.0017563242465257645,0.001
12940,4,7760,54650,6.09,-0.5949817599999999,1.0,54565,0.2083369418978691,0.0021848829346708953,0.001
12956,4,7770,54715,6.1,-0.6045742700000001,1.0,54631,0.20430060724417368,0.0018996000123609389,0.001
12972,4,7780,54782,6.15,-0.61436361,1.0,54694,0.21095649152994156,0.0016647564646388804,0.001
12984,4,7790,54834,6.03,-0.6062939700000001,1.0,54752,0.20082843800385794,0.0019083867470423381,0.001
12997,4,7800,54891,6.02,-0.61397264,0.99,54806,0.21311275164286295,0.0017251869624791045,0.001
13012,4,7810,54950,5.98,-0.61861738,0.99,54868,0.19575379292170206,0.0015747570898383856,0.001
13025,4,7820,55008,6.0,-0.6231116,0.99,54924,0.21234717965126038,0.001302231103181839,0.001
13039,4,7830,55067,6.0,-0.63622708,0.99,54982,0.2048133263985316,0.0026533770530174174,0.001
13054,4,7840,55129,5.98,-0.63571091,0.99,55044,0.20502157881855965,0.0018498213363013097,0.001
13068,4,7850,55185,6.0,-0.6319224800000001,0.99,55102,0.22202956303954124,0.002083377031210278,0.001
