rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/success_rate,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
5.49,-0.691673,24364,5798,4,3200,0.8,0.21194535280976975,0.001,1.0179359378525987e-05,24263
5.58,-0.6935078199999998,24425,5813,4,3210,0.82,0.21516407600470952,0.001,1.2256382693262172e-05,24325
5.73,-0.7163085800000001,24493,5829,4,3220,0.84,0.21593878666559854,0.001,1.347813849861268e-05,24392
5.8,-0.7273596299999998,24544,5841,4,3230,0.85,0.21102618426084518,0.001,1.3090511856717058e-05,24444
5.81,-0.72470442,24600,5855,4,3240,0.85,0.20808568809713637,0.001,1.5608163916372826e-05,24501
5.73,-0.7176275200000002,24651,5867,4,3250,0.85,0.21082056164741517,0.001,1.4776299758523237e-05,24555
5.67,-0.7195519600000001,24703,5880,4,3260,0.83,0.23155158758163452,0.001,2.441636570438277e-05,24603
5.7,-0.7195768000000002,24762,5894,4,3270,0.84,0.20752414422375814,0.001,1.0707642819137878e-05,24662
5.71,-0.7224899600000002,24825,5909,4,3280,0.83,0.21731642952987126,0.001,1.4582908599030426e-05,24725
5.69,-0.7183521700000002,24878,5922,4,3290,0.83,0.2228734620979854,0.001,1.4753636735674394e-05,24778
5.71,-0.7129443000000001,24935,5935,4,3300,0.84,0.2173653319478035,0.001,1.0174869203183334e-05,24835
5.73,-0.70842039,24998,5950,4,3310,0.84,0.20940263755619526,0.001,1.0180374260926328e-05,24902
5.56,-0.6845604299999998,25049,5963,4,3320,0.82,0.21321484198172888,0.001,2.8714661311823875e-05,24950
5.54,-0.6777126999999998,25098,5975,4,3330,0.82,0.21429917216300964,0.001,3.24561151501257e-05,24997
5.55,-0.6799642900000002,25155,5988,4,3340,0.82,0.22617501020431519,0.001,1.2221954550893446e-05,25056
5.71,-0.6907061499999999,25222,6004,4,3350,0.84,0.2098414245992899,0.001,1.0598014114293619e-05,25121
5.71,-0.6903474800000002,25274,6017,4,3360,0.84,0.23599353432655334,0.001,1.2900412002636585e-05,25178
5.75,-0.6955378000000002,25337,6032,4,3370,0.85,0.23077735900878907,0.001,1.188932110380847e-05,25236
5.72,-0.6935321699999999,25397,6047,4,3380,0.85,0.21949854280267442,0.001,1.3796447741957049e-05,25296
5.79,-0.6996214,25457,6061,4,3390,0.85,0.1948147937655449,0.001,1.2633516689675162e-05,25356
5.88,-0.71718235,25523,6077,4,3400,0.85,0.23132216185331345,0.001,1.0065228707389906e-05,25422
5.83,-0.7187777599999998,25581,6091,4,3410,0.84,0.22411576126302993,0.001,1.787180333069825e-05,25481
5.97,-0.7333962799999999,25646,6106,4,3420,0.86,0.2256456185132265,0.001,2.722796807574923e-05,25546
6.0,-0.7407346800000002,25698,6119,4,3430,0.87,0.2157760053873062,0.001,1.4009678125148639e-05,25598
5.93,-0.73390724,25748,6131,4,3440,0.86,0.21090514745031083,0.001,1.1533371044996394e-05,25652
5.95,-0.74084301,25817,6148,4,3450,0.86,0.2243433381829943,0.001,2.7212195813522806e-05,25718
5.95,-0.73377657,25869,6160,4,3460,0.87,0.22064575127192906,0.001,1.1996488995334533e-05,25770
5.9,-0.72734082,25927,6174,4,3470,0.86,0.20969339460134506,0.001,1.7722129996400326e-05,25828
5.8,-0.71970423,25977,6186,4,3480,0.83,0.21105948587258658,0.001,1.0761272278614342e-05,25876
5.84,-0.7209279699999999,26041,6202,4,3490,0.85,0.22170429527759553,0.001,1.5356376752606594e-05,25942
5.82,-0.7108765999999999,26105,6217,4,3500,0.85,0.2197914400271007,0.001,1.1230713815686094e-05,26005
5.65,-0.6925522399999999,26146,6227,4,3510,0.83,0.23036410212516784,0.001,1.1127410834887996e-05,26046
5.66,-0.68921318,26212,6243,4,3520,0.83,0.21737379261425563,0.001,2.0030250587816617e-05,26112
5.6,-0.68487114,26258,6254,4,3530,0.81,0.21652711927890778,0.001,3.543577986420132e-05,26157
5.78,-0.7022448699999999,26326,6270,4,3540,0.84,0.22618117502757482,0.001,8.582539326848096e-06,26226
5.67,-0.6856496799999998,26384,6284,4,3550,0.83,0.21779460459947586,0.001,8.735182367066349e-06,26284
5.65,-0.6848399699999999,26434,6296,4,3560,0.83,0.2017394334077835,0.001,8.252775296568871e-06,26335
5.63,-0.67847727,26490,6310,4,3570,0.83,0.20803474634885788,0.001,1.7963373162880696e-05,26389
5.69,-0.6821661900000001,26546,6323,4,3580,0.85,0.22145521427903855,0.001,1.680053966473289e-05,26446
5.72,-0.6889517699999999,26613,6339,4,3590,0.85,0.21999961137771606,0.001,1.5596210947218685e-05,26513
5.68,-0.6874669899999999,26673,6354,4,3600,0.85,0.22179236076772213,0.001,1.2288126356452267e-05,26572
5.85,-0.7039362900000001,26731,6368,4,3610,0.88,0.2074118001120431,0.001,1.4877751449863094e-05,26631
5.72,-0.6965024200000001,26784,6380,4,3620,0.85,0.2195559268196424,0.001,9.519553638407766e-06,26688
5.85,-0.7003981699999998,26843,6395,4,3630,0.88,0.21403318004948751,0.001,8.088119492250761e-06,26747
5.76,-0.6943291700000002,26902,6409,4,3640,0.86,0.22657189518213272,0.001,2.1531189304369036e-05,26799
5.81,-0.7056497500000002,26965,6424,4,3650,0.86,0.2216700315475464,0.001,3.629961845165651e-05,26869
5.94,-0.7140344700000001,27028,6439,4,3660,0.88,0.21663281321525574,0.001,9.225709800375625e-06,26927
6.05,-0.7197036699999999,27095,6455,4,3670,0.89,0.2144160360097885,0.001,1.1946638369408902e-05,26995
6.03,-0.7191441999999999,27149,6468,4,3680,0.89,0.21765396744012833,0.001,1.0013752671511611e-05,27048
5.9,-0.7028906100000002,27203,6481,4,3690,0.87,0.22528516501188278,0.001,9.228270300809527e-06,27102
5.95,-0.7052869900000001,27268,6497,4,3700,0.87,0.21467076880591257,0.001,7.072495269052784e-06,27166
5.96,-0.7133609999999997,27327,6511,4,3710,0.86,0.2141528893262148,0.001,1.0238433560516569e-05,27226
6.07,-0.72595858,27391,6526,4,3720,0.88,0.21418466312544687,0.001,2.4203251346729564e-05,27290
6.09,-0.7286779599999998,27452,6541,4,3730,0.88,0.22050190823418753,0.001,1.0883869565857043e-05,27350
6.02,-0.7222545900000001,27504,6554,4,3740,0.88,0.21721485682896205,0.001,8.786603757471312e-06,27403
6.04,-0.71701941,27569,6569,4,3750,0.89,0.22475898691586085,0.001,8.940886021134378e-06,27467
6.06,-0.7305090399999998,27634,6585,4,3760,0.88,0.22559899730341776,0.001,8.971222086984199e-06,27533
5.88,-0.7220712599999999,27683,6597,4,3770,0.86,0.21689876914024353,0.001,2.024211862590164e-05,27584
5.94,-0.7270749300000001,27743,6611,4,3780,0.87,0.2146353324254354,0.001,1.1478062712437046e-05,27642
6.02,-0.7441239000000001,27805,6626,4,3790,0.88,0.21405545622110367,0.001,8.65108881953347e-06,27703
5.93,-0.73271606,27861,6639,4,3800,0.88,0.22667594850063325,0.001,7.082484080456197e-06,27762
6.03,-0.7336468899999999,27930,6656,4,3810,0.9,0.21950920351913997,0.001,2.718444933894456e-05,27829
6.0,-0.7279800100000001,27991,6671,4,3820,0.91,0.22123074034849802,0.001,1.0282825466371529e-05,27891
5.97,-0.72498143,28049,6685,4,3830,0.91,0.2151417483886083,0.001,1.2209454022619562e-05,27949
6.12,-0.73437639,28116,6701,4,3840,0.93,0.23195237985679082,0.001,1.913227450651383e-05,28014
6.01,-0.72955537,28170,6714,4,3850,0.9,0.22417364163058145,0.001,1.0821867752903408e-05,28074
5.97,-0.7236024499999998,28231,6728,4,3860,0.9,0.2183905392885208,0.001,9.660269875490081e-06,28131
6.08,-0.72882047,28291,6743,4,3870,0.92,0.22021146331514632,0.001,1.3706071643225317e-05,28192
6.12,-0.7332360999999998,28355,6758,4,3880,0.92,0.22217494994401932,0.001,8.429448750272664e-06,28255
6.07,-0.71947439,28412,6772,4,3890,0.92,0.22079536616802214,0.001,8.564597465010593e-06,28313
6.1,-0.72118628,28471,6786,4,3900,0.92,0.22402497231960297,0.001,1.120285833167145e-05,28369
