rollout/success_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
0.87,16511,60987,5.25,11030,3,-0.4960273899999999,0.001,0.18231427371501924,60883,8.027338481042534e-06
0.88,16526,61041,5.25,11040,3,-0.49203836,0.001,0.17023740708827972,60937,7.312516572710592e-06
0.9,16540,61093,5.3,11050,3,-0.49423649,0.001,0.18165274262428283,60991,6.474047131632687e-06
0.88,16554,61142,5.26,11060,3,-0.49124778999999996,0.001,0.17416774233182272,61042,1.1272114685804505e-05
0.84,16565,61184,5.13,11070,3,-0.4858356700000001,0.001,0.1814279705286026,61081,7.602056939504109e-06
0.81,16578,61232,5.03,11080,3,-0.47844354,0.001,0.17637643814086915,61130,3.2993998956953872e-06
0.82,16593,61286,5.02,11090,3,-0.48174504999999995,0.001,0.1757381647825241,61184,3.85990206268616e-06
0.83,16608,61341,5.09,11100,3,-0.48358363,0.001,0.1763709932565689,61239,3.5450248674351315e-06
0.84,16622,61393,5.09,11110,3,-0.48410534999999993,0.001,0.17975820004940032,61291,6.781808679079404e-06
0.85,16636,61444,5.1,11120,3,-0.48270571000000007,0.001,0.18897690375645956,61341,5.228873078522156e-06
0.84,16648,61490,5.03,11130,3,-0.47847311,0.001,0.1817543680469195,61390,5.697575602425786e-06
0.83,16663,61545,5.04,11140,3,-0.48270202000000006,0.001,0.1753503680229187,61442,4.570127657643752e-06
0.83,16678,61597,5.04,11150,3,-0.47677938,0.001,0.1822078049182892,61495,8.007260294107255e-06
0.84,16693,61652,5.1,11160,3,-0.4842845500000001,0.001,0.1769053190946579,61549,4.082619436000338e-06
0.88,16706,61703,5.19,11170,3,-0.48534088000000003,0.001,0.17936774094899496,61601,7.4513396460436825e-06
0.89,16720,61754,5.22,11180,3,-0.49062147,0.001,0.17626091539859773,61650,4.915705903840717e-06
0.89,16735,61808,5.22,11190,3,-0.49026046,0.001,0.18251414597034454,61705,3.9902789922052765e-06
0.89,16751,61866,5.25,11200,3,-0.50072734,0.001,0.1803967867578779,61763,7.579910678552031e-06
0.87,16764,61916,5.23,11210,3,-0.5070754799999999,0.001,0.17656549215316772,61814,4.135309382036212e-06
0.86,16779,61969,5.25,11220,3,-0.50822583,0.001,0.17257774472236634,61867,5.962536670267582e-06
0.87,16793,62021,5.31,11230,3,-0.5156241500000001,0.001,0.1836351677775383,61921,4.501850753513281e-06
0.87,16807,62073,5.28,11240,3,-0.5094596800000001,0.001,0.1772745966911316,61970,3.4982267152372517e-06
0.86,16821,62124,5.27,11250,3,-0.51649896,0.001,0.1829087406396866,62021,4.61165559499932e-06
0.86,16835,62176,5.24,11260,3,-0.51069186,0.001,0.18473525643348693,62074,1.1964448049184284e-05
0.86,16849,62226,5.23,11270,3,-0.50781596,0.001,0.18208423256874084,62126,5.261000569589669e-06
0.86,16862,62276,5.22,11280,3,-0.5058830000000001,0.001,0.1741565726697445,62174,1.859797873748903e-05
0.84,16876,62325,5.17,11290,3,-0.50245966,0.001,0.18211057285467783,62222,2.5795549542332688e-06
0.83,16889,62374,5.08,11300,3,-0.49649896000000004,0.001,0.18066845834255219,62272,3.7448691728059204e-06
0.84,16904,62429,5.13,11310,3,-0.49341419000000003,0.001,0.17784259219964346,62326,3.4351213571426342e-06
0.84,16917,62476,5.07,11320,3,-0.48781368999999997,0.001,0.17299888730049134,62374,4.8991824769473166e-06
0.85,16930,62526,5.05,11330,3,-0.48274121999999997,0.001,0.18049496710300444,62424,4.316589138397831e-06
0.84,16945,62579,5.06,11340,3,-0.48640511,0.001,0.17586316665013632,62476,4.1820047348058624e-06
0.85,16960,62634,5.1,11350,3,-0.4908602799999999,0.001,0.18086924900611243,62531,8.871549425748526e-06
0.83,16973,62682,5.06,11360,3,-0.49152170999999995,0.001,0.1816480815410614,62578,1.1605686449911445e-05
0.83,16988,62738,5.12,11370,3,-0.49678453,0.001,0.1802264243364334,62636,4.882661551164347e-06
0.82,17002,62788,5.12,11380,3,-0.49333562999999997,0.001,0.17767270654439926,62686,5.0660601876491756e-06
0.82,17015,62836,5.11,11390,3,-0.49361342999999996,0.001,0.18550426264603934,62734,7.143588391045341e-06
0.8,17026,62879,5.05,11400,3,-0.48581829000000004,0.001,0.17281965911388397,62779,8.734983869847687e-06
0.8,17041,62933,5.04,11410,3,-0.48888489,0.001,0.17590093314647676,62830,9.380484334542416e-06
0.81,17057,62992,5.16,11420,3,-0.4978409000000001,0.001,0.17899236331383386,62889,4.114530346062868e-06
0.82,17073,63049,5.23,11430,3,-0.5048803599999999,0.001,0.17685794830322266,62946,4.725115559267579e-06
0.84,17087,63101,5.22,11440,3,-0.50091743,0.001,0.18249285519123076,62998,8.919322681322228e-06
0.84,17101,63153,5.19,11450,3,-0.4964195199999999,0.001,0.1799019157886505,63050,3.427255387578043e-06
0.86,17117,63212,5.3,11460,3,-0.5017717899999999,0.001,0.18097355713446936,63107,6.50178837228547e-06
0.85,17130,63263,5.25,11470,3,-0.49739691999999996,0.001,0.17976060807704924,63161,5.827788936585421e-06
0.86,17144,63313,5.25,11480,3,-0.49962044000000005,0.001,0.17768527567386627,63210,4.908470373266027e-06
0.87,17158,63363,5.27,11490,3,-0.49912296000000006,0.001,0.17864789813756943,63263,4.85398061300657e-06
0.89,17171,63411,5.32,11500,3,-0.50552337,0.001,0.19378993411858877,63308,1.4392428662783155e-05
0.88,17183,63459,5.26,11510,3,-0.50205109,0.001,0.18151082346836725,63359,4.558207365334965e-06
0.88,17198,63511,5.19,11520,3,-0.49958118,0.001,0.18362527872834886,63409,3.5680324279902768e-06
0.87,17212,63564,5.15,11530,3,-0.49300250999999995,0.001,0.17604268590609232,63461,4.96313820500897e-06
0.85,17225,63611,5.1,11540,3,-0.49305625999999997,0.001,0.17503815293312072,63511,3.888067476509605e-06
0.84,17238,63660,5.07,11550,3,-0.49313804,0.001,0.18005297581354776,63557,5.414716724772006e-06
0.83,17251,63709,4.97,11560,3,-0.4858343599999999,0.001,0.17562133967876434,63607,4.044336174047203e-06
0.83,17265,63758,4.95,11570,3,-0.48395126000000005,0.001,0.18105538934469223,63656,7.400399908874533e-06
0.83,17277,63803,4.9,11580,3,-0.47505062000000003,0.001,0.17586523791154227,63701,6.523159451414055e-06
0.82,17290,63852,4.89,11590,3,-0.4742566100000001,0.001,0.17813584705193838,63749,1.1468937979467833e-05
0.82,17305,63905,4.94,11600,3,-0.47712725999999994,0.001,0.1792561113834381,63805,7.0432636978997225e-06
0.82,17320,63960,5.01,11610,3,-0.4812768800000001,0.001,0.17950343447072165,63857,4.451362526326973e-06
0.83,17335,64016,5.05,11620,3,-0.47968399999999994,0.001,0.1831952209273974,63914,4.891259853441928e-06
0.83,17350,64071,5.07,11630,3,-0.48318726000000006,0.001,0.17921864986419678,63969,8.321680904070186e-06
0.83,17363,64119,5.08,11640,3,-0.4867632099999999,0.001,0.18721336126327515,64019,9.390176455781329e-06
0.82,17376,64168,5.08,11650,3,-0.4802852899999999,0.001,0.17705518503983816,64065,5.4816013440965134e-06
0.84,17392,64225,5.16,11660,3,-0.4847330400000001,0.001,0.18067069351673126,64122,4.882254143012688e-06
0.83,17404,64270,5.12,11670,3,-0.48327358,0.001,0.18357102076212564,64170,4.6324106127334135e-06
0.85,17419,64324,5.21,11680,3,-0.49158976000000004,0.001,0.18414833148320517,64222,4.065071304163818e-06
0.85,17432,64373,5.21,11690,3,-0.49592131,0.001,0.18132948577404023,64270,3.5383481645112626e-06
0.86,17446,64425,5.2,11700,3,-0.49038365000000006,0.001,0.1795241336027781,64323,4.433887056620733e-06
0.87,17460,64475,5.15,11710,3,-0.48650249,0.001,0.18178610503673553,64372,7.552279566880316e-06
0.87,17475,64532,5.16,11720,3,-0.4954322600000001,0.001,0.18752641479174295,64430,5.848729945986027e-06
0.86,17489,64583,5.12,11730,3,-0.49509806999999995,0.001,0.17757612892559596,64481,9.860333648248343e-06
0.87,17504,64637,5.18,11740,3,-0.49560041999999993,0.001,0.1759431113799413,64535,6.553198318215436e-06
0.88,17518,64689,5.21,11750,3,-0.50519793,0.001,0.18052583187818527,64587,4.4319161437063786e-06
0.84,17530,64732,5.07,11760,3,-0.50134662,0.001,0.17772947003444037,64632,4.209632265883556e-06
0.85,17544,64784,5.14,11770,3,-0.50790302,0.001,0.17796754588683447,64683,6.726141464241664e-06
0.83,17558,64836,5.12,11780,3,-0.5108250499999999,0.001,0.17807880640029908,64734,7.836701934138546e-06
0.82,17570,64881,5.08,11790,3,-0.50645556,0.001,0.18634453043341637,64778,4.734374783765816e-06
0.83,17586,64938,5.13,11800,3,-0.5121521,0.001,0.17428746074438095,64835,1.7016362562571885e-05
0.83,17601,64993,5.18,11810,3,-0.51714906,0.001,0.17522597312927246,64890,6.376389289168098e-06
0.83,17615,65046,5.14,11820,3,-0.50462752,0.001,0.1767299324274063,64945,4.34320687266639e-06
0.84,17629,65097,5.14,11830,3,-0.5038434500000001,0.001,0.19163864552974702,64995,4.259610795998014e-06
0.85,17643,65149,5.12,11840,3,-0.50018782,0.001,0.1836780309677124,65046,9.923376455844846e-06
0.84,17656,65195,5.06,11850,3,-0.49332776999999994,0.001,0.17449584354956946,65093,2.9982440992171178e-06
0.85,17669,65243,5.11,11860,3,-0.4992014,0.001,0.1848113566637039,65140,1.0499678592168493e-05
0.86,17684,65299,5.15,11870,3,-0.49791908000000007,0.001,0.18499990659100668,65195,5.815485240288711e-06
0.87,17699,65354,5.18,11880,3,-0.49593806000000007,0.001,0.18182439506053924,65250,3.5030428080062846e-06
0.9,17714,65411,5.3,11890,3,-0.5026727799999999,0.001,0.1890275925397873,65309,3.129061800185203e-06
0.89,17730,65468,5.3,11900,3,-0.5064987700000001,0.001,0.1754838451743126,65365,3.942632550509491e-06
0.88,17744,65519,5.26,11910,3,-0.50657206,0.001,0.17941255370775858,65417,3.957462354264862e-06
0.85,17757,65568,5.22,11920,3,-0.5116864299999999,0.001,0.1856307715177536,65465,5.253878589428495e-06
0.84,17772,65623,5.26,11930,3,-0.51423529,0.001,0.17810555696487426,65520,9.76788569460041e-06
0.84,17787,65677,5.28,11940,3,-0.51846785,0.001,0.1795138329267502,65574,1.1517354141687975e-05
0.86,17802,65732,5.37,11950,3,-0.52532307,0.001,0.1782479907075564,65629,6.7186931573814945e-06
0.87,17816,65784,5.41,11960,3,-0.5209741000000001,0.001,0.18109523504972458,65680,4.057713719400151e-06
0.88,17831,65839,5.4,11970,3,-0.5258749699999999,0.001,0.1873087167739868,65737,5.526315635506762e-06
0.88,17845,65891,5.37,11980,3,-0.5250067500000001,0.001,0.17910640154566085,65789,4.644420804262543e-06
0.88,17859,65942,5.31,11990,3,-0.51670951,0.001,0.18938127756118775,65840,4.863499816565308e-06
0.88,17873,65994,5.26,12000,3,-0.50903768,0.001,0.17747500836849212,65890,6.590907105419319e-06
0.89,17888,66049,5.3,12010,3,-0.50550113,0.001,0.18532163898150125,65946,1.0817829737182668e-05
0.89,17901,66100,5.32,12020,3,-0.50582588,0.001,0.18308045466740927,66000,1.0225829555565724e-05
0.91,17917,66158,5.35,12030,3,-0.50617334,0.001,0.1823883776863416,66054,4.557850881307483e-06
0.91,17933,66216,5.39,12040,3,-0.5086266300000001,0.001,0.17853339513142905,66114,3.875255174534686e-06
