rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-0.7227070499999999,66771,16173,5.9,4,0.87,10270,0.17301377015454428,3.8270721103929516e-05,66669,0.001
-0.7095057,66829,16187,5.81,4,0.86,10280,0.1758076772093773,4.4101565435994416e-05,66722,0.001
-0.7043067999999999,66888,16201,5.79,4,0.86,10290,0.17111114306109293,5.498545994799185e-05,66781,0.001
-0.6787475899999998,66934,16212,5.57,4,0.83,10300,0.17273776233196259,4.576645005727187e-05,66828,0.001
-0.68955693,66998,16228,5.69,4,0.85,10310,0.17987779279549918,4.34541101033877e-05,66892,0.001
-0.6845323999999999,67058,16243,5.68,4,0.86,10320,0.17552901804447174,4.889761606006816e-05,66953,0.001
-0.6850149600000001,67110,16255,5.6,4,0.84,10330,0.17131740351517996,4.041868002483776e-05,67008,0.001
-0.69352717,67167,16269,5.69,4,0.85,10340,0.16818681359291077,3.675551852211356e-05,67061,0.001
-0.6915658400000001,67224,16283,5.7,4,0.85,10350,0.17323930064837137,5.7224938548946135e-05,67119,0.001
-0.69221127,67284,16298,5.72,4,0.85,10360,0.1696774959564209,5.325922575138975e-05,67178,0.001
-0.69995206,67351,16314,5.8,4,0.87,10370,0.17532112768718175,4.589545538432763e-05,67244,0.001
-0.7154148499999999,67420,16331,5.91,4,0.88,10380,0.1779737834419523,3.9114174536994793e-05,67314,0.001
-0.7274506099999999,67484,16346,5.96,4,0.89,10390,0.17109735310077667,4.734026411564888e-05,67378,0.001
-0.7465413900000002,67548,16362,6.14,4,0.92,10400,0.17517443746328354,3.9147327394554544e-05,67441,0.001
-0.7432537299999998,67607,16376,6.09,4,0.91,10410,0.1779186154405276,4.561753242645258e-05,67500,0.001
-0.7476882199999999,67664,16390,6.06,4,0.9,10420,0.1728561818599701,4.0623644963488914e-05,67557,0.001
-0.7529136099999999,67735,16408,6.25,4,0.91,10430,0.16708123896803176,4.2589884417663727e-05,67633,0.001
-0.76382723,67798,16423,6.31,4,0.92,10440,0.18061413722378866,5.568405582120509e-05,67691,0.001
-0.7614334700000001,67849,16435,6.25,4,0.9,10450,0.17471848641123092,0.00010878391497369324,67743,0.001
-0.76035341,67907,16449,6.23,4,0.9,10460,0.17987189292907715,4.6532291889889166e-05,67805,0.001
-0.7391713299999999,67958,16462,6.07,4,0.88,10470,0.175572327205113,3.852631510069061e-05,67851,0.001
-0.72148963,68009,16474,5.89,4,0.85,10480,0.18192383434091294,4.290052701045559e-05,67903,0.001
-0.7113668900000001,68069,16489,5.85,4,0.84,10490,0.17814033159187861,4.981183103934329e-05,67964,0.001
-0.7038598900000003,68131,16504,5.83,4,0.84,10500,0.17274864514668783,7.233334326883778e-05,68024,0.001
-0.70569326,68192,16519,5.85,4,0.84,10510,0.17549915398870194,3.681424095702823e-05,68085,0.001
