time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
4,13332,54164,8580,0.72,-0.6903091599999999,5.71,0.0044283559545874596,0.2982049584388733,-0.17972268164157867,54063,0.001,0.00020295276772230864
4,13346,54221,8590,0.75,-0.70317303,5.84,0.004480487667024136,0.2831061780452728,1.4131635427474976,54120,0.001,0.00016973388846963644
4,13358,54272,8600,0.77,-0.7029286300000002,5.85,0.0045545450411736965,0.32968205213546753,-0.05079418420791626,54171,0.001,9.561309707351029e-05
4,13371,54324,8610,0.75,-0.69996347,5.74,0.004614738747477531,0.30077582597732544,-0.6046055555343628,54223,0.001,0.0001608647871762514
4,13385,54379,8620,0.73,-0.7032207899999999,5.68,0.004620461259037256,0.32344478368759155,-0.1215888261795044,54278,0.001,0.000233469603699632
4,13403,54449,8630,0.74,-0.7147597400000001,5.75,0.004530441015958786,0.3076423406600952,-0.9025163650512695,54348,0.001,0.00023053897893987596
4,13418,54509,8640,0.77,-0.7282678999999999,5.87,0.004489082843065262,0.29919034242630005,0.25007134675979614,54408,0.001,0.00014523470599669963
4,13430,54559,8650,0.76,-0.72781003,5.81,0.00450091203674674,0.30015498399734497,-0.4961792230606079,54458,0.001,0.00013818108709529042
4,13442,54608,8660,0.73,-0.72096274,5.7,0.004518543370068073,0.3282768130302429,0.5093587636947632,54507,0.001,0.00014596933033317327
4,13459,54674,8670,0.76,-0.7285495699999999,5.71,0.004534301348030567,0.343275249004364,-0.7022493481636047,54573,0.001,0.00021651267888955772
4,13472,54726,8680,0.75,-0.7220489200000003,5.62,0.004582318942993879,0.29736462235450745,0.028622210025787354,54625,0.001,0.00018980463210027665
4,13487,54789,8690,0.76,-0.7178741,5.68,0.00454052584245801,0.37343525886535645,1.1978509426116943,54688,0.001,0.00019234300998505205
4,13502,54846,8700,0.76,-0.7206123099999999,5.74,0.004461479373276234,0.31928184628486633,-0.4270455241203308,54745,0.001,0.0002768970443867147
4,13517,54906,8710,0.76,-0.7236750000000001,5.82,0.0043668076395988464,0.3048449754714966,-1.7672433853149414,54805,0.001,0.0002693421265576035
4,13532,54968,8720,0.77,-0.7129071200000001,5.89,0.00421344256028533,0.338521808385849,1.17664635181427,54867,0.001,0.0004076101758982986
4,13547,55028,8730,0.75,-0.6934014699999999,5.79,0.004243005998432636,0.34255465865135193,1.2822843790054321,54927,0.001,0.0002799026551656425
4,13561,55083,8740,0.74,-0.6873880200000001,5.74,0.004270901903510094,0.3179432153701782,-0.6115936636924744,54982,0.001,9.556661825627089e-05
4,13576,55142,8750,0.75,-0.6914801,5.83,0.004419086966663599,0.30189090967178345,0.16017888486385345,55041,0.001,0.00014442449901252985
4,13590,55199,8760,0.78,-0.6983720899999999,5.91,0.0045206076465547085,0.29114073514938354,0.7578021883964539,55098,0.001,0.00020674060215242207
4,13604,55257,8770,0.76,-0.6911084700000001,5.83,0.004556690808385611,0.330504834651947,-0.640575110912323,55156,0.001,0.00029565731529146433
