rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
-0.3729903299999999,7728,4.79,38583,7050,4,0.95,38479,1.9075379532296212e-05,0.1347208395600319,0.001
-0.37496791,7739,4.85,38636,7060,4,0.96,38531,4.7037973217811665e-06,0.14445087909698487,0.001
-0.37964227,7749,4.9,38688,7070,4,0.97,38582,6.220528045256894e-06,0.1384370798865954,0.001
-0.38277994,7760,5.01,38744,7080,4,0.98,38640,8.560227646133475e-06,0.14069448659817377,0.001
-0.38280013999999996,7770,5.0,38791,7090,4,0.98,38685,2.7237325957685245e-05,0.14335888028144836,0.001
-0.38709679,7781,5.05,38846,7100,4,0.98,38741,8.942338960575095e-06,0.14055113246043524,0.001
-0.39282153999999997,7791,5.08,38897,7110,4,0.98,38792,8.138893190334783e-06,0.1388401657342911,0.001
-0.40007073,7802,5.15,38951,7120,4,0.99,38845,7.090610870363889e-06,0.14164521992206575,0.001
-0.39579992999999997,7811,5.08,38994,7130,4,0.97,38892,4.216531920064881e-06,0.12874380499124527,0.001
-0.39341059,7821,5.06,39043,7140,4,0.97,38938,3.9903912920635776e-06,0.14750726893544197,0.001
-0.40271664,7833,5.19,39102,7150,4,0.97,38997,1.0252299261992448e-05,0.14055520668625832,0.001
-0.4030551800000001,7844,5.23,39159,7160,4,0.97,39052,7.413465709760203e-06,0.14134521782398224,0.001
-0.40477743000000005,7855,5.23,39211,7170,4,0.97,39104,5.205735078561702e-06,0.13359810039401054,0.001
-0.40199043,7865,5.15,39259,7180,4,0.97,39153,8.475270351482323e-06,0.14343953132629395,0.001
-0.4083016899999999,7875,5.21,39312,7190,4,0.97,39206,4.687500222644303e-06,0.13915367672840753,0.001
-0.40391339000000004,7885,5.13,39359,7200,4,0.97,39253,4.040525482196244e-06,0.1364434982339541,0.001
-0.40443107999999994,7895,5.11,39408,7210,4,0.96,39302,9.791600859898608e-06,0.14338349550962448,0.001
-0.40128528,7905,5.1,39461,7220,4,0.96,39355,2.5531995106575778e-05,0.14337421208620071,0.001
-0.40391189999999993,7915,5.14,39508,7230,4,0.97,39404,8.824939868645743e-06,0.1492278128862381,0.001
-0.40718477999999997,7925,5.12,39555,7240,4,0.95,39450,7.209400716116458e-06,0.13454424093166986,0.001
-0.40916348999999996,7936,5.08,39610,7250,4,0.95,39504,9.082664822320416e-06,0.13868249207735062,0.001
-0.40267492000000005,7946,5.04,39663,7260,4,0.95,39557,1.031876645356533e-05,0.13828832805156707,0.001
-0.40083782999999995,7957,5.03,39714,7270,4,0.95,39608,6.285181825660402e-06,0.13324232995510102,0.001
-0.3993033999999999,7965,4.98,39757,7280,4,0.93,39655,4.723478241430712e-06,0.13382519036531448,0.001
-0.39895440000000015,7976,4.96,39808,7290,4,0.93,39703,5.9532762861636e-06,0.14214840531349182,0.001
-0.40176497999999994,7986,5.0,39859,7300,4,0.93,39754,6.194046666981497e-06,0.13568860292434692,0.001
-0.4024185399999999,7996,5.01,39909,7310,4,0.93,39804,1.0222512704179584e-05,0.13724498202403387,0.001
-0.39898498999999993,8006,4.95,39956,7320,4,0.92,39850,3.6306097399574355e-06,0.14198198914527893,0.001
-0.40177727,8016,5.0,40008,7330,4,0.93,39903,6.20752944087144e-06,0.14447271525859834,0.001
-0.39677779999999996,8026,4.99,40054,7340,4,0.93,39949,1.132705865529715e-05,0.1440881997346878,0.001
-0.3891512100000001,8036,4.94,40104,7350,4,0.93,39999,2.8903353995701764e-05,0.14124428629875183,0.001
-0.39520896,8046,4.93,40156,7360,4,0.93,40051,8.64997870545873e-06,0.1414081354935964,0.001
-0.394834,8056,4.91,40205,7370,4,0.93,40099,6.2347313587451936e-06,0.13839294016361237,0.001
-0.39738276000000006,8066,4.95,40252,7380,4,0.94,40147,6.0705849591613514e-06,0.14030593931674956,0.001
-0.39423121,8076,4.95,40303,7390,4,0.95,40197,3.98320935346419e-06,0.13712750375270844,0.001
-0.39883984,8087,4.97,40356,7400,4,0.95,40252,3.925866432534046e-06,0.13656223565340042,0.001
-0.39837965999999997,8097,4.97,40406,7410,4,0.96,40301,1.0048037211163319e-05,0.1430334709584713,0.001
-0.39663118000000014,8107,4.98,40454,7420,4,0.97,40348,4.080861799593549e-06,0.1422763280570507,0.001
-0.39780052999999993,8117,4.98,40506,7430,4,0.96,40401,5.181690842922156e-06,0.13754857331514359,0.001
-0.40162985000000007,8128,5.04,40558,7440,4,0.98,40452,3.3753919342416336e-05,0.14810138046741486,0.001
-0.40275712999999996,8137,5.02,40606,7450,4,0.97,40502,9.196936844091397e-06,0.13823749125003815,0.001
-0.3969985100000001,8146,4.92,40648,7460,4,0.94,40543,5.508828417077894e-06,0.13546737432479858,0.001
-0.39468776,8156,4.92,40697,7470,4,0.93,40591,7.710381851211423e-06,0.13938963860273362,0.001
-0.39735423000000003,8166,4.97,40749,7480,4,0.94,40643,1.1945619280595566e-05,0.1358335107564926,0.001
-0.39385916000000004,8176,4.94,40797,7490,4,0.94,40693,8.788081049715402e-06,0.13939087986946105,0.001
-0.39086589999999993,8186,4.94,40850,7500,4,0.94,40745,5.033791694586398e-06,0.13438940346240996,0.001
-0.3904342099999999,8196,4.92,40898,7510,4,0.93,40792,8.326022725668736e-06,0.13615135699510575,0.001
-0.3929025300000001,8205,4.9,40944,7520,4,0.92,40839,6.7534799200075215e-06,0.144290491938591,0.001
-0.38823225,8215,4.86,40992,7530,4,0.93,40888,4.603625711752102e-06,0.13568855449557304,0.001
-0.3920476299999999,8225,4.85,41043,7540,4,0.92,40938,1.6417573897342662e-05,0.14870672225952147,0.001
-0.39692352999999997,8236,4.94,41100,7550,4,0.92,40996,6.005564273436903e-06,0.141484926144282,0.001
-0.39868338000000003,8246,5.02,41150,7560,4,0.95,41044,5.624074750206394e-06,0.13899590075016022,0.001
-0.3954262599999999,8255,4.97,41194,7570,4,0.95,41088,4.420777759150951e-06,0.1374204009771347,0.001
-0.3949088699999999,8266,4.97,41246,7580,4,0.95,41141,4.01686437119982e-06,0.14164844652016959,0.001
-0.39830277,8276,5.01,41298,7590,4,0.95,41194,3.279416159784887e-06,0.13936495780944824,0.001
-0.39071954999999997,8285,4.92,41342,7600,4,0.94,41238,7.224570026664878e-06,0.137512918561697,0.001
-0.39568642,8296,4.98,41396,7610,4,0.95,41291,1.0665493300621165e-05,0.13927603960037233,0.001
-0.39335545999999993,8305,4.97,41441,7620,4,0.94,41336,7.5789212132804096e-06,0.14593420550227165,0.001
-0.3907706600000001,8314,4.95,41487,7630,4,0.94,41383,1.3874112028133823e-05,0.14468874037265778,0.001
-0.38477216000000003,8324,4.95,41538,7640,4,0.95,41433,7.05159443116697e-06,0.1459082726921354,0.001
-0.38115714999999994,8334,4.89,41589,7650,4,0.96,41483,4.039875193484477e-06,0.14348889514803886,0.001
-0.38379872999999987,8345,4.9,41640,7660,4,0.95,41536,4.765502853842918e-06,0.13985054492950438,0.001
-0.38970738000000005,8355,4.96,41690,7670,4,0.95,41585,5.0022877834029105e-06,0.13308120518922806,0.001
-0.38925814000000003,8365,4.97,41743,7680,4,0.95,41636,7.193509100034135e-06,0.13736264407634735,0.001
-0.39516387999999997,8377,5.01,41799,7690,4,0.95,41694,1.4628751250711502e-05,0.14595385491847992,0.001
-0.39691063,8387,5.09,41851,7700,4,0.96,41745,7.360056088145939e-06,0.13689932227134705,0.001
-0.39350937,8398,5.07,41903,7710,4,0.95,41797,6.1903321693534965e-06,0.14704831540584565,0.001
-0.39389243,8407,5.08,41949,7720,4,0.96,41844,1.0685428833312471e-05,0.1380608156323433,0.001
-0.3963782699999999,8416,5.05,41992,7730,4,0.94,41886,4.8240913656627525e-06,0.1378417819738388,0.001
-0.39787385000000003,8426,5.05,42043,7740,4,0.94,41938,5.774618330178782e-06,0.14031316041946412,0.001
-0.39311203,8435,4.98,42087,7750,4,0.92,41983,4.80031030747341e-06,0.14305581152439117,0.001
-0.39458583999999985,8446,5.0,42140,7760,4,0.93,42036,1.017322010739008e-05,0.1409418284893036,0.001
-0.39580862000000006,8456,5.03,42193,7770,4,0.93,42088,5.004253353035892e-06,0.13862818107008934,0.001
-0.39695148,8466,5.01,42244,7780,4,0.93,42138,8.162424910551635e-06,0.1407315641641617,0.001
-0.3936875799999999,8477,4.97,42296,7790,4,0.93,42191,1.2551637837532326e-05,0.13808084651827812,0.001
-0.39617436,8487,4.93,42344,7800,4,0.92,42238,2.9674295433324005e-05,0.13924332708120346,0.001
-0.39802465,8497,4.92,42395,7810,4,0.93,42290,8.485305806971155e-06,0.14181953072547912,0.001
