rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
4.7,91687,18650,1.0,-0.26586474000000004,23276,3,0.00035752291296375915,91589,0.1151265949010849,0.001
4.66,91731,18660,1.0,-0.2632732,23288,3,0.0003492075193207711,91633,0.10739065706729889,0.001
4.65,91776,18670,1.0,-0.26255011000000006,23299,3,0.00031519845651928335,91678,0.1124681904911995,0.001
4.66,91824,18680,1.0,-0.26182046,23312,3,0.00034830075455829503,91725,0.11282172054052353,0.001
4.63,91871,18690,1.0,-0.26228488999999994,23324,3,0.00033594016567803917,91773,0.1030842661857605,0.001
4.6,91916,18700,1.0,-0.26237388,23335,3,0.0003137523599434644,91817,0.10853896290063858,0.001
4.54,91960,18710,1.0,-0.25720549,23347,3,0.0003681507194414735,91862,0.11265239616235097,0.001
4.55,92006,18720,1.0,-0.25763118,23358,3,0.0003395429375814274,91907,0.10567530989646912,0.001
4.55,92053,18730,1.0,-0.25928625000000005,23370,3,0.0003678615903481841,91954,0.1074076568086942,0.001
4.56,92100,18740,1.0,-0.26100771,23383,3,0.00038067759305704385,92002,0.10761226341128349,0.001
4.58,92145,18750,1.0,-0.26048547000000005,23394,3,0.00038314739504130557,92046,0.10736347734928131,0.001
4.61,92192,18760,1.0,-0.26340609,23406,3,0.00032052703318186104,92094,0.10866295173764229,0.001
4.59,92235,18770,1.0,-0.26189676,23417,3,0.0003100433896179311,92137,0.11852548271417618,0.001
4.55,92279,18780,1.0,-0.25969164,23429,3,0.0003941266913898289,92180,0.10572473332285881,0.001
4.55,92326,18790,1.0,-0.26035714,23441,3,0.0003641098737716675,92227,0.10741909593343735,0.001
4.55,92371,18800,1.0,-0.25699843,23452,3,0.0003816366515820846,92272,0.11504458636045456,0.001
4.54,92414,18810,1.0,-0.25705027999999996,23463,3,0.0003083100833464414,92316,0.11099867522716522,0.001
4.54,92460,18820,1.0,-0.25915705,23475,3,0.0003813220318988897,92361,0.10502606630325317,0.001
4.51,92504,18830,1.0,-0.25415803,23487,3,0.00032810308039188385,92403,0.11984710767865181,0.001
4.49,92549,18840,1.0,-0.25195726,23498,3,0.0003687035641632974,92451,0.10404564812779427,0.001
4.53,92598,18850,1.0,-0.25334916,23511,3,0.0003324901481391862,92499,0.11044597625732422,0.001
4.49,92641,18860,1.0,-0.24923601,23522,3,0.00032785890653030947,92543,0.11419035494327545,0.001
4.54,92689,18870,1.0,-0.25174992,23534,3,0.00035478953577694483,92591,0.10164470970630646,0.001
4.54,92733,18880,1.0,-0.25156169,23546,3,0.0003001958830282092,92635,0.11441068351268768,0.001
4.52,92778,18890,1.0,-0.24667132,23557,3,0.000351388641865924,92679,0.11211085319519043,0.001
4.52,92823,18900,1.0,-0.24650649000000002,23569,3,0.0003292231558589265,92725,0.11274420842528343,0.001
4.55,92869,18910,1.0,-0.25052108,23581,3,0.000367884298611898,92771,0.11582580953836441,0.001
4.54,92914,18920,1.0,-0.24976811000000002,23592,3,0.00032912156166275963,92815,0.11547698825597763,0.001
4.55,92959,18930,1.0,-0.25247212,23604,3,0.0003418605920160189,92861,0.11480151116847992,0.001
4.54,93003,18940,1.0,-0.25439082,23615,3,0.0003370698686921969,92904,0.11132527887821198,0.001
4.5,93048,18950,1.0,-0.25374554000000005,23627,3,0.0003657491324702278,92950,0.0968967005610466,0.001
4.5,93091,18960,1.0,-0.25394066000000004,23638,3,0.0003287612635176629,92993,0.10983209684491158,0.001
4.49,93138,18970,1.0,-0.25454376,23650,3,0.00034600633807713166,93040,0.1128067597746849,0.001
4.49,93182,18980,1.0,-0.25364010000000003,23661,3,0.0003420008482256283,93083,0.1050189236799876,0.001
4.51,93229,18990,1.0,-0.25560654000000005,23674,3,0.00033625162905082107,93131,0.1083240769803524,0.001
4.5,93273,19000,1.0,-0.2573193,23685,3,0.00032857074402272703,93174,0.10777793327967326,0.001
4.5,93319,19010,1.0,-0.25811345999999996,23697,3,0.00037759299448225647,93220,0.11097092926502228,0.001
4.48,93362,19020,1.0,-0.25752097,23708,3,0.0003285321727162227,93264,0.11284838616847992,0.001
4.5,93409,19030,1.0,-0.25593672,23720,3,0.0003143948968499899,93310,0.10484581192334493,0.001
4.51,93454,19040,1.0,-0.25418668,23731,3,0.0003506197899696417,93355,0.10505790263414383,0.001
4.55,93503,19050,1.0,-0.25485019000000003,23744,3,0.0003139516629744321,93405,0.10388239473104477,0.001
4.58,93549,19060,1.0,-0.25676945999999995,23756,3,0.00036096517578698695,93450,0.1017804741859436,0.001
4.54,93592,19070,1.0,-0.25508827,23767,3,0.0003415815939661115,93494,0.10380500803391139,0.001
4.57,93639,19080,1.0,-0.25739883999999996,23779,3,0.00035056002670899036,93540,0.1081121563911438,0.001
4.55,93684,19090,1.0,-0.25586823,23790,3,0.0003241813101340085,93586,0.10820364207029343,0.001
